NC_001416	Bacteriophage lambda 
NC_001422	Escherichia phage phiX174
AP001918	Escherichia coli K-12
AP012030	Escherichia coli DH1
CP000304	Stutzerimonas stutzeri A1501
CP000076	Pseudomonas protegens Pf-5
CP000094	Pseudomonas fluorescens Pf0-1
OV986001	Pseudomonas fluorescens SBW25
AM235768	Pseudomonas fluorescens SBW25 plasmid pQBR103
U51556	Expression vector pACT3
JN579121	Expression vector pDawn
AB608329	Gateway binary vector R4pGWB759
HQ335171	Cloning vector pT3TS-Cre
AY751539	Cloning vector pHUE
M29896	Cloning vector pTL61T
